"model","discrete_algorithm","continuous_algorithm","particles","data_size","repetition","sampling_time"
"GMM","PG","MH","5","10","1","18.140980343"
"GMM","PG","MH","5","10","2","0.287054141"
"GMM","PG","MH","5","10","3","0.314526343"
"GMM","PG","MH","5","10","4","0.417534561"
"GMM","PG","MH","5","10","5","0.443699971"
"GMM","PG","MH","5","10","6","0.453430406"
"GMM","PG","MH","5","10","7","0.361752014"
"GMM","PG","MH","5","10","8","0.270386754"
"GMM","PG","MH","5","10","9","0.290036265"
"GMM","PG","MH","5","10","10","0.307308898"
"GMM","PG","HMC","5","10","1","10.23058191"
"GMM","PG","HMC","5","10","2","0.372684433"
"GMM","PG","HMC","5","10","3","0.315066571"
"GMM","PG","HMC","5","10","4","0.36951951"
"GMM","PG","HMC","5","10","5","0.344938619"
"GMM","PG","HMC","5","10","6","0.359588662"
"GMM","PG","HMC","5","10","7","0.36346434"
"GMM","PG","HMC","5","10","8","0.343189352"
"GMM","PG","HMC","5","10","9","0.384735183"
"GMM","PG","HMC","5","10","10","0.372634746"
"GMM","PG","MH","10","10","1","0.409532754"
"GMM","PG","MH","10","10","2","0.778790505"
"GMM","PG","MH","10","10","3","0.708397384"
"GMM","PG","MH","10","10","4","0.543587534"
"GMM","PG","MH","10","10","5","0.533752086"
"GMM","PG","MH","10","10","6","0.744720717"
"GMM","PG","MH","10","10","7","0.771345668"
"GMM","PG","MH","10","10","8","0.413324181"
"GMM","PG","MH","10","10","9","0.479047303"
"GMM","PG","MH","10","10","10","0.414589484"
"GMM","PG","HMC","10","10","1","0.540794907"
"GMM","PG","HMC","10","10","2","0.55322823"
"GMM","PG","HMC","10","10","3","0.570828966"
"GMM","PG","HMC","10","10","4","0.525905574"
"GMM","PG","HMC","10","10","5","0.570556496"
"GMM","PG","HMC","10","10","6","0.548452237"
"GMM","PG","HMC","10","10","7","0.548562967"
"GMM","PG","HMC","10","10","8","0.554676876"
"GMM","PG","HMC","10","10","9","0.539534821"
"GMM","PG","HMC","10","10","10","0.496871011"
"GMM","PG","MH","5","25","1","0.612159002"
"GMM","PG","MH","5","25","2","1.019099263"
"GMM","PG","MH","5","25","3","0.45275667"
"GMM","PG","MH","5","25","4","0.985898721"
"GMM","PG","MH","5","25","5","0.459448374"
"GMM","PG","MH","5","25","6","0.575038821"
"GMM","PG","MH","5","25","7","0.524453382"
"GMM","PG","MH","5","25","8","0.783129984"
"GMM","PG","MH","5","25","9","0.507940463"
"GMM","PG","MH","5","25","10","0.753354107"
"GMM","PG","HMC","5","25","1","0.875391547"
"GMM","PG","HMC","5","25","2","0.686520541"
"GMM","PG","HMC","5","25","3","0.735468883"
"GMM","PG","HMC","5","25","4","0.718816441"
"GMM","PG","HMC","5","25","5","0.69540958"
"GMM","PG","HMC","5","25","6","0.69227106"
"GMM","PG","HMC","5","25","7","0.696951878"
"GMM","PG","HMC","5","25","8","0.723778258"
"GMM","PG","HMC","5","25","9","0.730094849"
"GMM","PG","HMC","5","25","10","0.697337781"
"GMM","PG","MH","10","25","1","0.79932813"
"GMM","PG","MH","10","25","2","1.899052944"
"GMM","PG","MH","10","25","3","1.099023822"
"GMM","PG","MH","10","25","4","1.734370952"
"GMM","PG","MH","10","25","5","2.202155756"
"GMM","PG","MH","10","25","6","1.476981509"
"GMM","PG","MH","10","25","7","0.990535252"
"GMM","PG","MH","10","25","8","0.840158478"
"GMM","PG","MH","10","25","9","1.259290526"
"GMM","PG","MH","10","25","10","1.033476143"
"GMM","PG","HMC","10","25","1","1.164587076"
"GMM","PG","HMC","10","25","2","1.160874731"
"GMM","PG","HMC","10","25","3","0.975667912"
"GMM","PG","HMC","10","25","4","1.077169859"
"GMM","PG","HMC","10","25","5","0.993979364"
"GMM","PG","HMC","10","25","6","0.964985307"
"GMM","PG","HMC","10","25","7","1.009190884"
"GMM","PG","HMC","10","25","8","0.997349226"
"GMM","PG","HMC","10","25","9","1.361000206"
"GMM","PG","HMC","10","25","10","1.33140299"